time_s,alt_m,ax_ms2,ay_ms2,az_ms2
5.279,170.18,-0.163,-0.304,13.536
5.303,170.06,0.402,-0.031,11.299
5.323,170.12,0.957,0.144,10.349
5.347,170.12,0.756,-0.053,10.315
5.367,170.12,-0.256,-0.208,11.586
5.391,170.11,-1.393,-0.615,11.782
5.411,170.13,-1.373,-0.548,11.261
5.435,170.08,-0.866,-0.232,9.349
5.46,170.08,-0.72,-0.139,8.681
5.607,170.14,0.361,-0.998,7.133
5.627,170.19,0.093,-1.371,7.767
5.647,170.25,0.333,-0.995,7.827
5.671,170.2,1.381,-0.701,7.353
5.696,170.2,1.529,-0.749,7.688
5.716,170.16,1.115,-1.038,8.925
5.74,170.2,0.163,-1.472,11.179
5.76,170.23,-0.199,-1.682,11.366
5.784,170.23,-0.043,-1.759,11.32
5.804,170.14,0.292,-1.496,11.225
5.957,170.19,-2.213,-1.845,13.713
5.977,170.18,-2.701,-1.874,13.175
6.001,170.13,-2.029,-1.74,10.751
6.021,170.08,-1.067,-1.807,8.542
6.045,170.07,-0.519,-1.462,7.363
6.07,170.07,-0.536,-1.11,8.016
6.09,170.11,-0.835,-0.849,9.078
6.114,170.19,-0.916,-0.718,8.904
6.134,170.19,-0.577,-0.598,8.418
6.158,170.2,-0.232,-0.869,7.363
6.311,170.2,0.404,-0.804,9.732
6.331,170.2,0.342,-0.689,10.203
6.351,170.22,0.799,-0.445,9.643
6.375,170.24,0.426,-0.29,10.411
6.4,170.24,-0.249,-0.27,11.533
6.42,170.2,-1.031,-0.129,12.747
6.444,170.15,-0.34,0.424,12.469
6.464,170.15,0.323,0.696,10.528
6.488,170.15,0.536,1.108,9.081
6.508,170.03,0.675,0.95,9.1
6.917,170.09,-0.44,-1.031,12.091
6.937,170.1,-0.285,-1.048,11.888
6.957,170.03,-0.323,-0.835,12.165
6.981,169.96,-0.976,-0.818,12.038
7.006,169.96,-1.354,-1.082,10.885
7.026,169.97,-1.122,-0.739,10.215
7.05,169.94,-0.794,-0.476,10.105
7.07,169.95,-2.182,-0.385,12.928
7.094,170.03,-3.307,-0.687,14.309
7.119,170.03,-3.07,-0.407,12.864
7.266,169.99,-0.799,-0.129,7.911
7.286,170.0,-0.646,-0.397,7.121
7.306,170.07,-0.481,-0.495,6.748
7.33,170.11,-0.261,-0.45,6.693
7.355,170.11,-0.268,-0.304,7.43
7.375,170.09,-0.122,0.144,7.851
7.399,170.09,0.244,0.33,8.176
7.419,170.15,0.11,0.148,9.301
7.443,170.15,-0.486,0.263,11.069
7.463,170.14,-0.445,0.026,11.196
7.616,170.19,-0.837,1.862,9.863
7.636,170.14,-1.531,1.342,10.579
7.66,170.13,-2.759,0.34,11.062
7.68,170.11,-2.888,0.11,10.648
7.704,170.11,-1.938,0.17,9.452
7.724,170.11,-1.208,1.096,9.72
7.748,170.12,-0.694,1.706,10.205
7.768,170.09,-0.529,1.67,10.897
7.792,170.09,-0.692,1.129,10.098
7.812,170.1,-0.601,0.61,8.813
7.965,170.14,0.285,-0.687,8.365
7.985,170.12,-0.653,-0.888,9.48
8.009,170.07,-1.072,-0.854,10.555
8.029,170.11,-0.761,-0.617,11.251
8.053,170.11,-0.885,-0.514,11.909
8.073,170.08,-1.278,-0.519,12.684
8.097,170.12,-1.673,-0.409,13.687
8.117,170.12,-1.283,-0.45,12.974
8.141,170.16,-0.876,-0.426,11.768
8.166,170.16,-1.445,-0.024,12.735
8.313,170.13,-0.739,0.014,8.255
8.333,170.18,-0.962,-0.043,8.923
8.353,170.2,-1.326,-0.278,9.236
8.377,170.26,-1.388,-0.586,9.076
8.402,170.26,-1.287,-0.526,8.7
8.422,170.19,-0.943,-0.558,7.932
8.446,170.2,-0.306,-0.368,7.021
8.466,170.27,0.132,-0.318,6.999
8.49,170.22,0.062,-0.189,7.341
8.515,170.22,0.292,-0.043,7.98
8.663,170.23,-0.213,0.242,11.139
8.683,170.17,-0.555,0.258,11.976
8.707,170.17,-0.696,0.799,12.05
8.727,170.21,-0.412,1.814,11.22
8.751,170.21,0.218,2.101,10.72
8.771,170.14,-0.814,1.397,12.419
8.795,170.15,-1.962,0.684,13.438
8.815,170.13,-2.053,0.699,12.613
8.839,170.13,-1.055,0.988,10.129
8.864,170.13,-0.761,0.79,9.485
9.012,170.13,-0.112,-0.414,8.138
9.032,170.16,-0.074,-0.558,7.674
9.056,170.12,0.404,-0.773,6.987
9.076,170.14,0.581,-0.747,6.899
9.1,170.14,0.878,-1.055,7.116
9.12,170.14,0.512,-1.448,8.148
9.144,170.13,0.053,-1.388,9.406
9.164,170.16,0.316,-1.452,9.94
9.188,170.16,0.115,-1.888,10.588
9.208,170.09,-0.263,-2.206,11.222
9.361,170.05,-2.199,-0.38,15.302
9.381,169.98,-2.23,-0.323,13.766
9.405,169.96,-1.254,-0.301,10.26
9.425,170.02,-1.091,-0.445,8.935
9.449,170.01,-1.074,-0.701,8.272
9.474,170.01,-1.129,-0.555,8.478
9.494,170.03,-1.06,-0.273,8.688
9.518,170.09,-0.916,0.043,8.59
9.538,170.15,-0.739,-0.041,8.145
9.562,170.1,-0.718,-0.211,7.444
9.716,170.1,0.459,-0.357,8.696
9.736,170.08,0.069,-0.737,9.959
9.76,170.09,-0.036,-0.811,10.983
9.78,170.07,-0.057,-0.16,11.584
9.804,170.03,0.11,0.163,12.096
9.829,170.03,0.593,-0.299,12.141
9.849,170.05,0.622,-0.447,12.483
9.873,170.03,0.294,0.117,12.493
9.893,170.04,0.735,0.546,11.423
9.917,170.04,1.165,1.256,11.548
10.065,170.01,-2.149,-0.383,8.167
10.085,169.95,-1.649,0.072,8.786
10.109,170.01,-0.885,0.383,8.966
10.129,170.07,-0.814,0.187,8.442
10.153,170.13,-1.031,-0.093,7.896
10.178,170.13,-0.969,-0.234,7.035
10.198,170.14,-0.579,-0.256,6.688
10.222,170.12,-0.447,-0.311,6.896
10.242,170.17,-0.826,-0.261,7.315
10.266,170.18,-0.933,-0.084,8.43
10.42,170.18,-1.512,0.747,10.612
10.44,170.13,-1.706,0.936,10.662
10.464,170.14,-1.613,1.024,10.421
10.484,170.21,-1.608,1.259,10.299
10.508,170.21,-2.067,1.381,9.404
10.528,170.22,-2.651,0.842,10.588
10.552,170.21,-2.931,0.213,13.065
10.572,170.24,-3.599,0.098,12.936
10.596,170.24,-3.163,0.318,9.389
10.616,170.21,-2.319,0.689,8.377
10.769,170.24,-1.558,0.342,7.667
10.789,170.19,-1.357,0.167,7.109
10.813,170.14,-1.144,0.024,6.726
10.833,170.14,-0.766,0.096,6.602
10.857,170.2,-0.469,0.163,6.915
10.882,170.2,-0.538,-0.223,7.93
10.902,170.23,-1.05,-0.534,8.557
10.926,170.18,-0.878,-0.373,8.499
10.946,170.21,-0.309,-0.012,8.143
10.97,170.2,-0.077,0.136,8.181
11.124,170.2,-0.897,-0.483,11.844
11.144,170.14,-1.062,-0.354,12.038
11.168,170.08,-0.802,0.282,12.254
11.188,170.07,-0.689,0.603,11.816
11.212,170.05,-0.658,1.058,11.148
11.237,170.05,-0.727,0.919,12.122
11.257,169.95,-0.852,0.402,12.804
11.281,169.95,-1.292,0.345,13.395
11.301,169.99,-1.333,0.428,12.605
11.325,169.99,-0.751,0.297,10.682
11.473,169.98,0.632,0.189,6.463
11.493,170.04,0.414,-0.036,6.908
11.517,169.99,-0.151,-0.165,7.796
11.537,170.03,-0.026,-0.199,7.561
11.561,169.99,0.091,-0.29,7.767
11.586,169.99,-0.067,0.117,9.296
11.606,169.98,0.12,0.548,9.904
11.63,169.94,0.065,0.593,10.205
11.65,169.92,-0.337,0.012,10.83
11.674,169.97,-0.749,0.089,11.433
11.828,169.97,-1.553,-0.048,14.508
11.848,169.82,-2.158,0.359,15.917
11.872,169.72,-2.039,0.689,12.873
11.892,169.74,-0.833,-0.007,10.435
11.916,169.74,-0.797,-0.065,9.454
11.936,169.67,-0.926,-0.098,9.102
11.96,169.68,-0.876,-0.165,8.863
11.98,169.78,-0.684,-0.089,8.43
12.004,169.78,-0.208,0.294,7.138
12.029,169.78,-0.031,0.165,6.587
12.176,169.68,-0.45,-0.213,8.14
12.196,169.59,-0.543,-0.385,9.87
12.216,169.58,-0.663,-0.184,11.634
12.24,169.69,-0.928,0.395,13.957
12.265,169.69,-0.847,0.505,14.69
12.285,169.71,-1.278,0.304,14.73
12.309,169.75,-1.44,0.1,12.589
12.329,169.76,-1.287,0.237,12.347
12.353,169.76,-0.926,0.203,13.359
12.373,169.76,-0.878,0.258,13.065
12.526,169.73,0.55,0.316,7.339
12.546,169.67,0.505,0.165,7.109
12.57,169.6,0.318,0.005,7.379
12.59,169.52,0.117,-0.189,7.64
12.614,169.41,0.117,-0.033,8.097
12.639,169.41,-0.179,0.041,8.885
12.659,169.43,-0.464,0.017,9.578
12.683,169.4,-0.481,0.031,9.796
12.703,169.48,-0.696,-0.01,10.306
12.727,169.38,-1.323,-0.591,12.168
12.881,169.38,-1.043,-0.251,13.204
12.901,169.29,-0.847,-0.11,12.481
12.925,169.28,-0.33,-0.246,9.801
