device_timestamp,altitude,acceleration,ax_ms2,ay_ms2,az_ms2,altitude_filtered,acceleration_filtered,velocity_filtered
0.02,-64.73,10.006441975047874,-0.086,-0.426,9.997,-0.023846153846152927,-0.0210950915508206,0.05372748371254556
0.04,-64.81,10.00690231790038,-0.079,-0.438,9.997,-0.02214285714285629,-0.019788857360510344,0.048699330114031485
0.06,-64.81,10.001344709587807,-0.084,-0.424,9.992,-0.02133333333333193,-0.018194366517763665,0.05078604143976354
0.09,-64.83,10.009549440409394,-0.098,-0.426,10.0,-0.021874999999998757,-0.01679021499166411,0.05177858051644565
0.11,-64.83,9.98181316194608,0.053,-0.416,9.973,-0.02117647058823359,-0.014938729163996477,0.060497487544889345
0.13,-64.85,10.026666195700344,-0.005,-0.337,10.021,-0.02055555555555344,-0.014261458293142602,0.0728772567553586
0.16,-64.89,10.023187566837208,-0.156,-0.447,10.012,-0.01947368421052431,-0.013496287758850712,0.09219950639981327
0.18,-64.9,10.02770467255593,-0.038,-0.416,10.019,-0.016999999999998038,-0.012937728369115043,0.09083628432657585
0.20,-64.9,10.011624493557477,-0.16,-0.455,10.0,-0.012857142857140638,-0.012437218772878162,0.10651074697769201
0.35,-64.87,9.733606423109576,0.057,-0.354,9.727,-0.00999999999999801,-0.012396262818094977,0.11757844029688842
0.37,-64.81,10.01399725384424,-0.091,-0.438,10.004,-0.008695652173911314,-0.011007783850371836,0.12811850811006778
0.39,-64.8,10.002410309520402,-0.062,-0.452,9.992,-0.007499999999998508,-0.009583616847281892,0.1311135702721486
0.41,-64.81,10.004658015144745,-0.086,-0.431,9.995,-0.005999999999998522,-0.009194465760333231,0.13546902746126188
0.44,-64.81,10.006741627522917,-0.055,-0.438,9.997,-0.006399999999998158,-0.008445339832456539,0.14413569412792826
0.46,-64.82,10.013677945690084,-0.079,-0.433,10.004,-0.004799999999997908,-0.008724350559115237,0.15489686628910065
0.48,-64.84,10.013821498309223,-0.069,-0.438,10.004,-0.003199999999997658,-0.007835429818244038,0.16594448533671843
0.50,-64.82,10.02423448448808,-0.084,-0.445,10.014,0.0008000000000021146,-0.00829343866055396,0.1796472631144962
0.53,-64.82,10.006801586920767,-0.065,-0.438,9.997,0.007600000000002183,-0.007206554608308551,0.17915299267904847
0.55,-64.81,10.009826222267797,-0.086,-0.435,10.0,0.01640000000000214,-0.007586691557805238,0.18271116261368722
0.70,-64.78,10.007224340445257,-0.091,-0.443,9.997,0.026400000000002137,-0.008436273820781538,0.18424137703863847
0.72,-64.74,10.007122413561254,-0.079,-0.443,9.997,0.034800000000002454,-0.0085671406661357,0.1840940086175861
0.74,-64.76,9.998013252641746,-0.091,-0.438,9.988,0.04320000000000277,-0.008029261565757721,0.17785591337948983
0.76,-64.79,10.029088193848931,-0.093,-0.44,10.019,0.050400000000003047,0.0030335643642962398,0.17868889516280806
0.79,-64.79,10.032721664633181,-0.072,-0.412,10.024,0.055200000000003226,0.0034297336484655004,0.18008019951063559
0.81,-64.78,10.009694600735829,-0.069,-0.435,10.0,0.06000000000000284,0.0036087904135865046,0.18542077922078085
0.83,-64.74,10.025170123244791,-0.048,-0.426,10.016,0.06520000000000266,0.0044714024831000645,0.186260779220781
0.85,-64.77,9.999927049733913,-0.096,-0.435,9.99,0.07200000000000273,0.004870366550976684,0.1917274458874461
0.88,-64.77,10.023567728109587,-0.065,-0.433,10.014,0.07960000000000264,0.004534718823868999,0.1893586147186144
0.90,-64.73,9.998099219351646,-0.1,-0.438,9.988,0.0860000000000025,0.004161358616311049,0.19469194805194687
1.05,-64.66,10.008985263252216,-0.065,-0.419,10.0,0.08840000000000202,0.0036509339375162143,0.19002528138528046
1.07,-64.63,10.017162771962926,-0.074,-0.445,10.007,0.09080000000000155,0.0035652450413301297,0.1770919480519462
1.09,-64.64,10.001948010262801,-0.084,-0.438,9.992,0.09280000000000144,0.003907572178240741,0.15349194805194608
1.11,-64.69,10.024433001422075,-0.081,-0.45,10.014,0.09520000000000152,0.0038330010998692643,0.14609454545454326
1.14,-64.69,10.025071471066926,-0.079,-0.419,10.016,0.09560000000000116,0.0033295388437051088,0.12929454545454264
1.16,-64.69,10.010177071360925,-0.086,-0.443,10.0,0.09640000000000157,0.004439764665807005,0.11529454545454211
1.18,-64.69,10.023901485948471,-0.081,-0.438,10.014,0.09840000000000203,0.004766431063587433,0.10409454545454139
1.20,-64.68,10.006886728648427,-0.077,-0.438,9.997,0.102800000000002,0.0038679239846046445,0.09449454545454142
1.23,-64.68,10.026223316882584,-0.093,-0.443,10.016,0.1052000000000021,0.004358992477975505,0.08479064935064617
1.25,-64.64,10.016715729219833,-0.084,-0.433,10.007,0.10760000000000161,0.003824582601825455,0.0777239826839806
1.40,-64.63,10.005286752512392,-0.077,-0.447,9.995,0.11080000000000155,0.003912599560180325,0.06279064935064742
1.42,-64.68,10.004487493120275,-0.081,-0.428,9.995,0.11480000000000132,0.0041362020822261055,0.043723982683981026
1.45,-64.76,10.011473867518209,-0.062,-0.431,10.002,0.11680000000000121,0.004679428469012379,0.03025731601731525
1.47,-64.76,10.004659364516115,-0.1,-0.428,9.995,0.1160000000000008,0.005495927484848479,0.031553939393938836
1.49,-64.76,10.018384400690563,-0.069,-0.428,10.009,0.11240000000000067,0.004988276617701785,0.029153939393939884
1.51,-64.72,10.00536006348597,-0.086,-0.447,9.995,0.11000000000000057,0.005152374990825237,0.025820606060606734
1.53,-64.73,9.99453585715715,-0.069,-0.431,9.985,0.11000000000000057,0.004832838085598965,0.019420606060606888
1.55,-64.74,10.025768898194293,-0.081,-0.435,10.016,0.11000000000000057,0.0041129391600285455,0.01875393939394082
1.58,-64.74,10.037254853793442,-0.065,-0.426,10.028,0.11200000000000046,0.004153218139828141,0.017905617246288922
1.60,-64.68,10.010258987658611,-0.074,-0.447,10.0,0.11120000000000062,0.003940296384869484,0.02030561724628785
1.75,-64.72,10.0219713130701,-0.089,-0.438,10.012,0.11080000000000098,0.004599561079740937,0.014305617246288586
1.77,-64.68,10.01180987634104,-0.067,-0.438,10.002,0.11160000000000139,0.0036461130078007642,0.015265617246288615
1.80,-64.69,10.002127473692784,-0.079,-0.443,9.992,0.11080000000000155,0.003369853396670237,0.013132283912956679
1.82,-64.67,10.029157791160731,-0.086,-0.443,10.019,0.10760000000000161,0.0034143933697273355,0.014701115081787957
1.84,-64.68,10.011679879021303,-0.079,-0.433,10.002,0.10720000000000197,0.00320052616851207,0.00750111508178884
1.86,-64.68,10.029397738648118,-0.093,-0.447,10.019,0.10840000000000202,0.003503028696394921,0.007501115081789788
1.89,-64.72,10.004471500284259,-0.079,-0.428,9.995,0.10960000000000207,0.004016747452400295,0.009741115081790918
1.91,-64.7,10.006050469590887,-0.074,-0.419,9.997,0.10960000000000207,0.0038480040840645556,0.01574111508179113
1.93,-64.69,10.016444578791418,-0.077,-0.428,10.007,0.10880000000000223,0.004680651153521395,0.01970994625062256
1.95,-64.69,10.007073997927666,-0.089,-0.44,9.997,0.10880000000000223,0.004908588757445003,0.013309946250622715
